Spin Rotation,Flip Rotation,Body Rotation,Active Stance,Trick Name
0,-720,180,0,Double Heelflip FS Sex Change (*)
0,1080,180,0,Triple Kickflip FS Sex Change (*)
0,-1080,180,0,Triple Heelflip FS Sex Change (*)
0,360,-180,0,Kickflip BS Sex Change (*)
0,-360,-180,0,Disco Flip
0,720,-180,0,Double Kickflip BS Sex Change (*)
0,-720,-180,0,Double Heelflip BS Sex Change (*)
0,1080,-180,0,Triple Kickflip BS Sex Change (*)
0,-1080,-180,0,Triple Heelflip BS Sex Change (*)
180,0,-180,0,FS Disco Spin
-180,0,180,0,BS Disco Spin
360,0,-360,0,360 FS Disco Spin (*)
-360,0,360,0,360 BS Disco Spin (*)
0,0,-360,0,Backside 360 Body Varial (*)
0,0,360,0,Frontside 360 Body Varial (*)
0,360,-360,0,Kickflip 360 Body Varial (*)
0,-360,-360,0,Heelflip 360 Body Varial (*)
-180,0,-360,0,BS Shuv BS 360 Body Varial (*)
180,0,-360,0,FS Shuv BS 360 Body Varial (*)
-180,0,360,0,BS Shuv FS 360 Body Varial (*)
180,0,360,0,FS Shuv FS 360 Body Varial (*)
180,360,-360,0,Varial Kickflip 360 Body Varial (*)
180,-360,-360,0,Inward Heelflip 360 Body Varial (*)
-180,360,-360,0,Hardflip 360 Body Varial (*)
-180,-360,-360,0,Varial Heelflip 360 Body Varial (*)


